Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1449651100,JKZ9192,NY,PAS,01/02/2000 12:00:00 AM,74,SDN,HONDA,P,73470,48330,56230,20211014,73,73,73,0,0073,0000,1020A,,,,985,ROCKAWAY AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2019,-,0,,,,,
1465523261,JEJ2470,NY,PAS,01/02/2000 12:00:00 AM,46,SDN,HONDA,P,26670,52120,20720,20201226,44,44,44,923029,0044,0000,0936P,,BX,F,283,E 167 ST,,0,408,F7,,BBBBBBB,ALL,ALL,GRAY,0,2008,-,0,,,,,
1449651112,GLL6398,NY,PAS,01/02/2000 12:00:00 AM,24,SDN,HONDA,P,73470,48330,56230,20200101,73,73,73,933601,0073,0000,1030A,,K,,985,ROCKAWAY AVE,,0,408,D5,,BBBBBBB,ALL,ALL,BLACK,0,2012,-,0,,,,,
1449651094,HFB9724,NY,PAS,01/02/2000 12:00:00 AM,24,SDN,HONDA,P,73470,48330,56230,20200302,73,73,73,933601,0073,0000,1015A,,K,F,985,ROCKAWAY AVE,,0,408,D5,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1464388817,A081358,ME,PAS,01/03/2000 12:00:00 AM,21,SUBN,HONDA,S,59030,73690,67030,20200930,67,67,0,637090,KN16,0000,0952A,,K,F,252,MARTENSE ST,,0,408,D1,,BYBBYBB,0900A,1030A,TAN,0,0,-,0,,,,,
1449651148,JKZ9192,NY,PAS,01/03/2000 12:00:00 AM,74,SDN,HONDA,P,73470,48330,56230,20211014,73,73,73,933601,0073,0000,0815A,,K,,985,ROCKAWAY AVE,,0,408,D5,,BBBBBBB,ALL,ALL,SILVE,0,1992,-,0,,,,,
1464862850,7533572,GV,PAS,01/08/2000 12:00:00 AM,14,DELV,,P,18150,10210,10110,0,,0,401,954190,0401,0000,0410P,,BX,O,200,E 58 ST,,0,408,L2,,YYYYYYY,1200A,0700P,WH,0,0,-,0,,,,,
1456721598,96169MA,NY,COM,01/10/2000 12:00:00 AM,46,DELV,FRUEH,P,36270,11710,27390,0,26,26,26,929874,0026,0000,0605P,,NY,F,541,W 125 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BN,0,0,-,0,,,,,
1454469638,KMMOVING,NC,PAS,01/11/2000 12:00:00 AM,99,TRK,FORD,P,36630,14030,14080,0,63,63,63,964141,0063,0000,0825P,,,O,1085,E 40 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2010,-,0,,,,,
1458347254,89493MK,NY,COM,01/12/2000 12:00:00 AM,71,VAN,INTER,P,8780,5010,5130,20200531,72,72,504,342924,T504,0000,0854A,,K,O,156,44TH ST,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0,2009,-,0,,,,,
1464658353,50639ML,NY,COM,01/14/2000 12:00:00 AM,14,VAN,FORD,P,17870,10110,10010,20200430,,0,401,950089,0401,0000,0416P,,NY,F,348,E 44,,0,408,C,,YYYYYYB,0400P,0700P,WHT,0,2010,-,0,,,,,
1464743228,2704819,IN,PAS,01/14/2000 12:00:00 AM,19,DELV,FRUEH,P,10810,34270,34290,0,,0,401,953483,0401,0000,0903A,,NY,O,302,8TH AVE,,0,408,L2,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1464788492,XEFH75,NJ,PAS,01/15/2000 12:00:00 AM,14,DELV,ISUZU,P,27790,18130,18150,0,,0,401,959745,0401,0000,0854A,,NY,F,470,PARK AVE,,0,408,C,,YYYYYBB,0700A,1000A,WH,0,0,-,0,,,,,
1464415675,HLB7903,NY,PAS,01/17/2000 12:00:00 AM,21,SDN,HYUND,S,58030,85730,85330,20201218,79,79,0,921396,KW03,0000,0952A,,K,F,203,MACON ST,,0,408,D1,,BYBBYBB,0900A,1030A,GRAY,0,2007,-,0,,,,,
1460153868,GFF3583,NY,PAS,01/19/2000 12:00:00 AM,40,SUBN,TOYOT,P,61690,30190,30240,20210223,101,101,101,940915,0101,0000,0340A,,Q,F,19-15,SEAGIRT BLVD,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2018,-,3,,,,,
1464783159,L59MUY,NJ,PAS,01/21/2000 12:00:00 AM,31,SUBN,HONDA,P,34090,10510,10610,0,,0,401,967611,0401,0000,0318P,,NY,F,159,W 16 STREET,,0,408,C,,YYYYYBB,0700A,0700P,WHITE,0,0,-,0,,,,,
1464922196,31943MN,NY,COM,01/23/2000 12:00:00 AM,10,DELV,VOLVO,P,10010,17290,17310,20200930,3,3,0,942916,CTTF,0000,0755A,,,F,275,1ST AVE,,0,408,B,,BBBBBBB,ALL,ALL,GRN,0,2020,-,0,,,,,
1464494538,T665776C,NY,OMT,01/24/2000 12:00:00 AM,48,SUBN,CADIL,P,0,40404,40404,20200331,,0,401,950089,0401,0000,0448P,0433P,NY,,222,E 52,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2020,-,0,,,,,
1464494496,PVE51V,NJ,PAS,01/24/2000 12:00:00 AM,46,,FORD,P,0,0,0,0,,0,401,950089,0401,0000,0338P,,NY,,,N/S E 52 ST,E LEXINGTON AVE,0,408,E1,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1462659986,HWA2635,NY,PAS,01/25/2000 12:00:00 AM,67,SDN,INFIN,P,32890,37550,20590,20191208,34,34,34,966207,0034,0000,0310P,,NY,F,45,WADSWORTH TERRACE,,0,408,J6,,BBBBBBB,ALL,ALL,BK,0,2018,-,0,,,,,
1464249957,84549MM,NY,COM,01/27/2000 12:00:00 AM,21,DUMP,MACK,S,0,0,0,20200228,90,90,0,591218,KNBO,0000,0102A,,K,,,W/S STEWARD AVE,TEN EYCK ST,0,408,D1,,YBBYBBB,1200A,0300A,GRN,0,1993,-,0,,,,,
1464494721,AU162R,NJ,PAS,01/27/2000 12:00:00 AM,47,DELV,HIN,P,10910,34470,34490,0,14,14,401,962164,0401,0000,0954A,,NY,F,458,9TH AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1458664648,91933ML,NY,COM,01/29/2000 12:00:00 AM,51,SUBN,DODGE,P,19190,18940,19340,20200930,106,106,402,350438,T402,0000,0741A,,Q,O,97-26,99 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0,2018,-,0,,,,,
1464701362,41853JE,NY,COM,01/29/2000 12:00:00 AM,47,DELV,HIN,P,34370,10610,10810,0,,0,401,959871,0401,0000,0256P,,,F,224,W 30 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1460912032,Y102391C,NY,999,02/01/2000 12:00:00 AM,50,TAXI,TOYOT,P,37130,14130,0,20200630,,0,63,958140,0063,0000,1124A,,K,,,E 53 STREET,AVENUE K,0,408,E5,,BBBBBBB,ALL,ALL,Y,0,0,-,0,,,,,
1448194635,T678178C,NY,PAS,02/01/2000 12:00:00 AM,27,SDN,TOYOT,P,10610,40404,40404,20200531,,0,68,965758,0068,0000,0630A,,K,F,6402,7 AVENUE,,0,408,F2,,BBBBBBB,ALL,ALL,BL,0,2016,-,0,,,,,
1464240220,LEUU92,NJ,PAS,02/03/2000 12:00:00 AM,21,SDN,HONDA,S,0,40404,40404,0,44,44,0,668612,BX03,0000,1138A,,BX,F,1413,HUGH L GRANT HIGHWAY,,0,408,D1,,YBBYBBB,1130A,0100P,SILVE,0,0,-,0,,,,,
1465682156,HHU7374,NY,PAS,02/06/2000 12:00:00 AM,21,,TOYOT,S,36510,10410,24690,20200913,32,32,0,686962,MN10,0000,1205P,,,F,55,W 137TH STREET,,0,408,D1,,YBBYBBB,1130A,0100P,BLACK,0,2012,-,0,,,,,
1462645290,HMJ2119,NY,PAS,02/07/2000 12:00:00 AM,46,SDN,CADIL,P,32690,16910,11310,20210430,34,34,34,966561,0034,0000,0300A,,NY,F,15,VERMILYEA AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2007,-,0,,,,,
1450214060,12340MG,NY,COM,02/14/2000 12:00:00 AM,46,DELV,INTER,P,35690,9340,9540,0,111,111,420,933159,0420,0000,1130A,,Q,F,40-11,BELL BLVD,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1456160564,T666579C,NY,PAS,02/15/2000 12:00:00 AM,67,TAXI,TOYOT,P,74570,8820,47020,20200331,46,46,46,957715,0046,0000,0918P,,BX,F,121,W 179 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,,
1452393473,6AUNT5,CT,PAS,02/16/2000 12:00:00 AM,70,SDN,HONDA,P,60810,20590,53890,0,106,106,106,962595,0106,0000,0420P,0420P,Q,F,112-20,ROCKAWAY BLVD,,20200216,408,C3,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1462651409,GSV4291,NY,PAS,02/16/2000 12:00:00 AM,40,SDN,CADIL,P,32790,37590,13113,20210202,34,34,34,967993,0034,0000,0840A,,NY,F,390,WADSWORTH AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,2004,-,0,,,,,
1475455331,63059JM,NY,COM,02/28/2000 12:00:00 AM,14,DELV,FRUEH,P,34610,10610,10810,0,14,14,401,947350,0401,0000,0456P,,,F,241,W 42 ST,,0,408,C,,YYYYYYY,0200P,1200P,BROWN,0,0,-,0,,,,,
1475003171,83787MN,NY,COM,02/28/2000 12:00:00 AM,18,DELV,HIN,P,86630,41730,40230,20201031,,0,401,959745,0401,0000,0827A,,NY,F,1381,UTICA AVE,,0,408,C,,YYYYYBB,0700A,0700P,WH,0,2016,-,0,,,,,
1454418930,CKHJ235,99,PAS,03/14/2000 12:00:00 AM,98,SDN,,P,10880,7430,16880,0,62,62,62,957090,0062,0000,1005,,K,O,2304,86 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1475103797,ZLT1887,PA,PAS,03/16/2000 12:00:00 AM,10,DELV,ISUZU,P,10510,34370,34390,0,,0,401,947469,0401,0000,0304P,,NY,O,864,6TH AVENUE,,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1477132788,HWX8126,NY,PAS,03/16/2000 12:00:00 AM,21,SDN,CHEVR,S,41930,47030,42730,20200225,79,79,0,921396,KN03,0000,0842A,,K,F,496,FRANKLIN AVE,,0,408,D1,,YBBYBBB,0800A,0930A,GREY,0,2014,-,0,,,,,
1475280543,60892MN,NY,COM,03/20/2000 12:00:00 AM,84,REF,,P,17450,10010,11815,20201130,13,13,0,942916,CTTF,0000,1119A,,NY,F,400,E 23 ST,,0,408,F4,,BBBBBBB,ALL,ALL,WH,0,2020,-,0,,,,,
1451080682,GBE2490,NY,PAS,03/24/2000 12:00:00 AM,17,SDN,INFIN,X,14590,22995,45290,20200723,5,5,0,0,0MSC,0000,0805A,,NY,F,111,CENTRE ST,,0,408,C4,,YYYYYBB,0700A,0700P,WHITE,0,2010,-,0,,,,,
1475085904,1225MG,NY,COM,03/30/2000 12:00:00 AM,46,VAN,FRUEH,P,0,40404,40404,0,,0,401,953453,0401,0000,0342P,,Q,O,215-15,67 AVE,,0,408,K7,,BBBBBBB,ALL,ALL,BR,0,0,-,0,,,,,
1477633674,JCN3459,NY,PAS,04/04/2000 12:00:00 AM,40,TAXI,TOYOT,P,8830,5780,5880,20201101,72,72,504,332045,T504,0000,0803A,,K,F,779,45 ST,,0,408,E2,,BBBBBBB,ALL,ALL,TAN,0,0,-,3,,,,,
1474440320,FSC5825,NY,PAS,04/11/2000 12:00:00 AM,46,VAN,TOYOT,P,31190,37570,37590,20210917,34,34,34,964901,0034,0000,1015A,,NY,F,1624,SAINT NICHOLAS AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLU,0,2015,-,0,,,,,
1474373811,68282N5,TX,PAS,04/18/2000 12:00:00 AM,40,SUBN,JEEP,P,36970,21190,29690,0,33,33,33,941854,0033,0000,0543A,,,,645,W 160 ST,,0,408,F1,,BBBBBBB,ALL,ALL,RD,0,0,-,0,,,,,
1440229740,T483955C,NY,OMT,04/18/2000 12:00:00 AM,98,SDN,MERCU,P,76530,64530,48330,20201130,75,75,75,954784,0075,0000,0304P,,,F,748,SHEPHARD AVE,,0,408,F4,,BBBBBBB,ALL,ALL,BLK,0,2006,-,0,,,,,
1472020662,8EAZ134,ME,PAS,04/29/2000 12:00:00 AM,14,SUBN,JEEP,P,0,0,0,20210331,75,75,75,955569,0075,0000,1145A,,K,,,S/W/C SNEDIKER,I/O LIVONIA,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2017,-,0,,,,,
1472804776,C46JRE,NJ,PAS,04/30/2000 12:00:00 AM,40,P-U,DODGE,P,70375,10030,10080,0,68,68,68,968800,0068,0000,0550A,,K,F,7030,PERRY TERRACE,,0,408,K6,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1472928921,QLG551,SC,PAS,05/02/2000 12:00:00 AM,98,SDN,FORD,P,38200,44430,41030,20200502,69,69,69,966011,0069,0000,1110P,,,F,742,E 103 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0,2006,-,0,,,,,
1447186692,569553R,NJ,PAS,05/17/2000 12:00:00 AM,70,SDN,LEXUS,P,24690,14210,35990,0,28,28,28,944770,0028,0000,1039A,,,F,12,LENOX AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1474307243,T782902C,NY,PAS,05/19/2000 12:00:00 AM,46,SUBN,CHEVR,P,13610,40404,40404,20200730,34,34,34,966207,0034,0000,1226P,,NY,F,45 80,BROADWAY,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2018,-,0,,,,,
1472280891,HHV9882,NY,PAS,05/20/2000 12:00:00 AM,40,SDN,NISSA,P,38290,15090,15340,20200729,104,104,104,965578,0104,0000,1155P,,Q,O,71-33,CALDWELL AVE,,0,408,E4,,BBBBBBB,ALL,ALL,WH,0,2019,-,4,,,,,
1475137333,AF36056,PA,PAS,05/27/2000 12:00:00 AM,19,TRAC,FRUEH,P,61090,20190,20490,0,110,110,401,962185,0401,0000,0743P,,Q,O,108-02,ROOSEVELT AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1475924045,HSU8681,NY,PAS,05/27/2000 12:00:00 AM,51,SUBN,HONDA,S,10540,12140,47290,20210613,104,104,0,635803,QW05,0000,0858A,,Q,F,5745,47 STREET,,0,408,E3,,BBBBBBB,ALL,ALL,GREY,0,2012,-,0,,,,,
1474283913,AR2420J,CT,PAS,06/10/2000 12:00:00 AM,40,SUBN,HONDA,P,37620,20290,13113,0,34,34,34,952421,0034,0000,0715P,,NY,O,600,W 196 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,
1472960853,4L28,PA,PAS,06/12/2000 12:00:00 AM,46,P-U,DODGE,P,22680,22580,22630,0,60,60,60,965656,0060,0000,1156A,,K,F,1137,BRIGHTON BEACH AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1459137383,1M61A,NY,OMT,06/12/2000 12:00:00 AM,20,SDN,TOYOT,P,17830,16320,24890,20190228,4,4,401,949737,0401,0000,0927A,,,F,109,E 42 ST,,0,408,E1,,BBBBBBB,ALL,ALL,YW,0,2011,-,0,,,,,
1457849410,H95HTX,NJ,PAS,06/19/2000 12:00:00 AM,21,SDN,TOYOT,S,5880,9480,9530,0,72,72,0,956196,LS07,0000,0751A,,Q,,5824 B,8 AVE,,0,408,D1,,BYYYYYB,0730A,0800A,WHITE,0,0,-,0,,,,,
1449816794,JHV5498,NY,PAS,06/22/2000 12:00:00 AM,51,SDN,VOLKS,P,72507,5530,5630,20210516,77,77,77,926166,0077,0000,0255A,,K,F,1570,PROSPECT PK,,0,408,E3,,BBBBBBB,ALL,ALL,BK,0,2014,-,0,,,,,
1459288907,42769JM,NY,COM,06/24/2000 12:00:00 AM,18,DELV,INTER,P,54580,61390,54790,0,109,109,401,962185,0401,0000,0558P,,Q,F,41-60,MAIN STREET,,0,408,C,,BBBBBBB,ALL,ALL,BR,0,1997,-,0,,,,,
1459369476,XW155A,NJ,PAS,06/27/2000 12:00:00 AM,18,,,P,10110,17630,17650,0,17,17,0,942916,CTTF,0000,0714A,,NY,F,585,2ND AVE,,0,408,C,,YYYYYBB,0700A,1000A,WH,0,0,-,0,,,,,
1450090163,36059JV,NY,COM,06/27/2000 12:00:00 AM,19,DELV,FRUEH,P,19340,19940,20090,0,106,106,504,331811,T504,0000,0425P,,,F,106-04,101 AV,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2007,-,0,,,,,
1456648974,38442ML,NY,COM,06/29/2000 12:00:00 AM,46,DELV,ISUZU,P,31190,37390,37410,20200205,34,34,34,964901,0034,0000,0840P,,NY,O,1445,SAINT NICHOLAS AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,1999,-,0,,,,,
1459543543,43927MG,NY,COM,07/01/2000 12:00:00 AM,78,VAN,CHEVR,P,18090,56490,45600,0,104,104,104,964340,0104,0000,0934P,,Q,F,82 58,89 ST,,0,408,K6,,BBBBBBB,0900P,0500A,WHITE,0,2006,-,0,,,,,
1458957615,2482152,IN,PAS,07/01/2000 12:00:00 AM,19,VAN,INTER,P,25390,18130,18150,0,18,18,401,952583,0401,0000,1028A,,NY,O,598,MADISON AVE,,0,408,C,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1459068762,47601MD,NY,COM,07/01/2000 12:00:00 AM,19,SUBN,PETER,P,0,0,0,20200331,,0,401,957312,0401,0000,1018A,,NY,,,E/O 8TH AVE,W 57,0,408,E1,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1459301821,32732JZ,NY,COM,07/03/2000 12:00:00 AM,14,DELV,WORKH,P,34850,39,39,0,,0,407,957312,0407,0000,0951A,,NY,,144,W 54TH ST,,0,408,C,,BBBBBBB,ALL,ALL,BR,0,0,-,0,,,,,
1458304991,JAL3486,NY,PAS,07/05/2000 12:00:00 AM,21,SUBN,MITSU,S,36420,25800,10640,20200711,40,40,0,683886,BX01,0000,0825A,,BX,O,296,GRAND CONCOURSE,,0,408,D1,,YYYYYYB,0800A,0830A,BLK,0,2003,-,0,,,,,
1458951352,79994MD,NY,COM,07/15/2000 12:00:00 AM,14,DELV,UTILI,P,17990,24890,10210,0,,0,401,950089,0401,0000,0459P,,NY,O,155,E 50,,0,408,C,,BBBBBBB,ALL,ALL,WHT,0,2012,-,0,,,,,
1459164362,13460MT,NY,COM,07/17/2000 12:00:00 AM,19,DELV,FORD,P,0,0,0,0,,0,401,956008,0401,0000,0956A,,Q,F,4161,,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1453420654,EFH6777,NY,PAS,07/19/2000 12:00:00 AM,21,VAN,TOYOT,S,0,40404,40404,20200123,,0,0,582845,KS10,0000,0906A,,K,F,430,BAYRIDGE PARKING,,0,408,D1,,BBBBYBB,0830A,1000A,SL,0,2005,-,0,,,,,
1459319369,31412MG,NY,COM,07/22/2000 12:00:00 AM,14,VAN,FRUEH,P,34430,10410,13610,0,,0,401,953483,0401,0000,0826A,,NY,F,7,W 33RD ST,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,2006,-,0,,,,,
1460319606,EMG3673,NY,PAS,07/22/2000 12:00:00 AM,21,SUBN,CHEVR,S,40030,90330,46730,20201015,83,83,0,695316,KNBO,0000,0830A,,K,F,646,EVERGREEN AVENUE,,0,408,D1,,YBBYBBB,0800A,0930A,GRY,0,2003,-,0,,,,,
1459259191,XFAH70,NJ,PAS,07/22/2000 12:00:00 AM,14,DELV,,P,0,0,0,0,,0,401,954798,0401,0000,0358P,,NY,O,225,E 43,,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1449836732,CPE2354,99,PAS,07/26/2000 12:00:00 AM,48,VAN,GMC,P,45130,57030,55430,20190821,90,90,90,953263,0090,0000,1022A,,,F,588,GRAND STREET,,0,408,C3,,BBBBBBB,ALL,ALL,GY,0,2005,-,0,,,,,
1459386292,XFHS55,NJ,PAS,07/29/2000 12:00:00 AM,45,SUBN,HIN,P,0,0,0,0,,0,401,959745,0401,0000,0840A,,NY,,,S/S 49 ST,E/O MADISON AVE,0,408,D,,BBBBBBB,ALL,ALL,GN,0,0,-,0,,,,,
1459243493,AP998T,NJ,PAS,07/29/2000 12:00:00 AM,14,REFG,INTER,P,34750,13610,10810,0,,0,401,948355,0401,0000,0915A,,NY,O,244,W 49 ST,,0,408,C,,BBBBBBB,ALL,ALL,GR,0,0,-,0,,,,,
1461090489,6517A,MA,999,07/31/2000 12:00:00 AM,79,BUS,VANHO,P,34750,29900,10510,20200630,,0,401,956410,0401,0000,0516P,0505P,NY,,50,W 49TH STREET,,0,408,B,,BBBBBBB,ALL,ALL,WH,0,2005,-,0,,,,,
1461129631,XFUB88,NJ,PAS,08/01/2000 12:00:00 AM,10,DELV,FRUEH,P,34810,10410,10510,0,401,401,401,958975,0401,0000,0732A,,NY,O,25,W 52 ST,,0,408,B,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1461104890,406770R,NJ,PAS,08/01/2000 12:00:00 AM,9,DELV,FRUEH,P,34930,21680,10510,0,,0,404,956008,0404,0000,0929A,,NY,F,1,W 58 ST,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1456617138,JJL6296,NY,PAS,08/01/2000 12:00:00 AM,21,SUBN,DODGE,S,58590,42850,42850,20190812,107,107,0,613278,QE08,0000,1041A,,Q,F,6561,PARSONS BLVD,,0,408,D1,,BBBYBBB,1030A,1200P,RED,0,2019,-,0,,,,,
1461103277,77028MG,NY,COM,08/02/2000 12:00:00 AM,14,TF,VOLVO,P,17890,10410,25390,20200430,,0,401,933397,0401,0000,0725A,,NY,O,8,E 45 ST,,0,408,C4,,YYYYYBB,0700A,1000A,GN,0,2016,-,0,,,,,
1459900108,T696609C,NY,OMT,08/02/2000 12:00:00 AM,21,SDN,TOYOT,S,14630,67530,35730,20200731,61,61,0,907328,KS15,0000,0742A,,,F,2011,AVE U,,0,408,D1,,YYYYYYB,0730A,0800A,BLK,0,2016,-,0,,,,,
1459394616,96564MJ,NY,COM,08/02/2000 12:00:00 AM,14,,,P,34630,10910,11010,0,,0,401,959871,0401,0000,0438P,,NY,F,453,W 43 ST,,0,408,C,,YYYYYYB,0700A,0700P,WHT,0,0,-,0,,,,,
1449192956,HSF8869,NY,PAS,08/03/2000 12:00:00 AM,98,SUBN,HYUND,P,7720,72620,10620,20201217,49,49,49,963543,0049,0000,0712P,,BX,F,774,ADEE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0,2004,-,0,,,,,
1447509730,TTG37K,NJ,PAS,08/03/2000 12:00:00 AM,66,TRAC,TEAIL,P,29795,40404,40404,0,121,121,121,936267,0121,0000,1240P,,R,,837,GOETHALS RD N,,0,408,K6,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1457406860,HNE5745,NY,PAS,08/05/2000 12:00:00 AM,78,VAN,FORD,P,19366,29345,45226,20210409,121,121,121,961676,0121,0000,0320A,,R,F,38,BOWDOIN ST,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1459216313,80226MM,NY,COM,08/06/2000 12:00:00 AM,14,DELV,FRUEH,P,17910,10410,25390,20191031,,0,401,956410,0401,0000,0410P,,NY,F,16,E 46TH STREET,,0,408,C,,BBBBBBB,0400,0700P,BROWN,0,2009,-,0,,,,,
1459216271,83450MH,NY,COM,08/06/2000 12:00:00 AM,14,DELV,FRUEH,P,18090,10410,25390,20191031,,0,401,956410,0401,0000,0506P,,NY,O,2,E 55TH STREET,,0,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,2016,-,0,,,,,
